DISTMED,area_acres
1,10841.211075552566
2,22952.990623981816
3,10201.88895369387
4,8179.347190065992
5,29564.814741242786
6,13025.191019996157
7,78792.85292184436
8,21045.782909465852
9,23340.232031247546
10,20179.48893124754
11,28352.031404334783
12,8413.305975311521
13,11139.63870787395
14,11033.851867060412
15,11621.857037219572
16,28454.372750703224
17,237933.81916906429
18,17551.718068460188
19,11503.534915558677
20,16513.18273183625
21,14108.07183107923
22,12222.253143416441
23,21172.138554282556
24,46797.95278282223
25,51609.63879919354
26,11491.534393219672
27,17091.91127013089
28,17046.472499520387
29,12989.610037799896
30,12092.165700073463
31,26568.365642647605
32,1667.3771024962364
33,15770.021132786474
34,8321.319269792346
35,13429.960672280853
36,51631.13288445181
37,41505.845269756326
38,7822.006172686383
39,10268.78134899632
40,31642.47691363996
41,15662.285037445721
42,15214.516662889406
43,20198.485612247612
44,13866.336476052717
45,12484.523808613485
46,8767.784959591521
47,22870.93194898613
48,29734.21551854911
49,45571.64417193133
50,62296.34067038999
51,27755.597571195274
52,25044.505028181746
53,21921.488015549097
54,8978.094807101375
55,12413.668867244845
56,15117.997186143322
57,12009.819400938164
58,25472.045454218394
59,6000.442936477123
60,33772.40384938813
61,41775.77551121155
62,28447.22266299865
63,35636.51353137609
64,30957.970960162744
65,10605.490459340297
66,138997.78739365668
67,62485.11720699806
68,57540.12332297499
69,113102.4866366329
70,7578.974736114991
71,402074.75782847253
72,52267.532053425675
73,137914.00570895433
